;WOZ;Global;Direkt;Diffus
320093;2016-08-06 06:00:00;52.77777777777778;2.7777777777777786;50.0
320094;2016-08-06 07:00:00;158.33333333333334;41.66666666666667;116.66666666666667
320095;2016-08-06 08:00:00;169.44444444444446;11.111111111111114;158.33333333333334
320096;2016-08-06 09:00:00;166.66666666666669;2.7777777777778;163.88888888888889
320097;2016-08-06 10:00:00;302.77777777777777;86.11111111111109;216.66666666666669
320098;2016-08-06 11:00:00;711.1111111111111;505.55555555555554;205.55555555555557
320099;2016-08-06 12:00:00;655.5555555555555;400.0;255.55555555555557
320100;2016-08-06 13:00:00;452.77777777777777;191.66666666666663;261.11111111111114
320101;2016-08-06 14:00:00;655.5555555555555;463.88888888888886;191.66666666666669
320102;2016-08-06 15:00:00;438.8888888888889;247.22222222222223;191.66666666666669
320103;2016-08-06 16:00:00;294.44444444444446;125.0;169.44444444444446
320104;2016-08-06 17:00:00;219.44444444444446;86.11111111111111;133.33333333333334
320105;2016-08-06 18:00:00;247.22222222222223;183.33333333333334;63.88888888888889
320106;2016-08-06 19:00:00;113.8888888888889;77.77777777777779;36.111111111111114
320107;2016-08-06 20:00:00;16.666666666666668;8.333333333333334;8.333333333333334
320108;2016-08-06 21:00:00;0.0;0.0;0.0
320109;2016-08-06 22:00:00;0.0;0.0;0.0
320110;2016-08-06 23:00:00;0.0;0.0;0.0
320111;2016-08-07 00:00:00;0.0;0.0;0.0
320112;2016-08-07 01:00:00;0.0;0.0;0.0
320113;2016-08-07 02:00:00;0.0;0.0;0.0
320114;2016-08-07 03:00:00;0.0;0.0;0.0
320115;2016-08-07 04:00:00;0.0;0.0;0.0
320116;2016-08-07 05:00:00;8.333333333333334;0.0;8.333333333333334
320117;2016-08-07 06:00:00;58.333333333333336;2.7777777777777786;55.55555555555556
320118;2016-08-07 07:00:00;102.77777777777779;13.8888888888889;88.88888888888889
320119;2016-08-07 08:00:00;147.22222222222223;5.555555555555543;141.66666666666669
320120;2016-08-07 09:00:00;247.22222222222223;11.111111111111114;236.11111111111111
320121;2016-08-07 10:00:00;472.22222222222223;200.0;272.22222222222223
320122;2016-08-07 11:00:00;730.5555555555555;563.8888888888889;166.66666666666669
320123;2016-08-07 12:00:00;650.0;286.1111111111111;363.8888888888889
320124;2016-08-07 13:00:00;408.33333333333337;30.5555555555556;377.77777777777777
