;Q_BHKW_1;Q_EHK_1;Q_GuD_1;Q_ab_HP_1;Q_ab_LT-HP_1;Q_ab_LT-HP_2;Q_SLK_1;Q_HT_EC;Q_HT_TES;Q_demand;Q_LT_EC;Q_zu_LT-HP_1;Q_zu_LT-HP_2;Q_LT_TES;Q_Sol;Q_ab_TES_1;Status_ab_TES_1;Q_zu_TES_1;Status_zu_TES_1;Q_ab_TES_1;Status_ab_TES_1;Speicherstand_TES_1;P_BHKW_1;P_zu_EHK_1;P_zu_HP_1;Status_HP_1;P_zu_LT-HP_1;P_zu_LT-HP_2;P_spot_market;P_GuD_1;P_source;Q_HT_node;Q_zu_TES_1;Status_zu_TES_1;Q_LT_node
2016-01-02 08:00:00;0.0;0.0;45.03267132493345;71.62873206197739;0.0;102.33859661308915;0.0;0.0;0.0;219.0;0.0;0.0;78.24901672570098;0.0;0.0;78.24901672570098;1.0;0.0;0.0;78.24901672570098;1.0;13933.368854608296;0.0;0.0;35.58189366;1.0;0.0;24.08957988738817;0.0;59.67147354738816;7.105427357601002e-15;0.0;0.0;0.0;0.0
2016-01-02 09:00:00;0.0;7.142831390246439;49.57397930035996;70.72233470491722;112.5608546044764;0.0;0.0;1.4210854715202004e-14;0.0;240.0;0.0;85.0;0.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13846.975517722834;0.0;7.21498120226913;36.03446174;1.0;27.5608546044764;0.0;2.6645352591003757e-15;70.81029754674553;0.0;0.0;0.0;0.0;0.0
2016-01-02 10:00:00;0.0;24.065011803101125;57.265084367886715;69.79329682090484;113.87660700810731;0.0;0.0;0.0;0.0;265.0;0.0;85.0;0.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13760.590820171063;0.0;24.30809273040518;36.49017739;1.0;28.876607008107307;0.0;7.105427357601002e-15;89.67487712851249;0.0;0.0;0.0;0.0;0.0
2016-01-02 11:00:00;0.0;7.058044303915281;75.07189041599196;69.31966813758254;114.55039714251023;0.0;0.0;0.0;0.0;266.0;0.0;85.0;0.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13674.214761089046;0.0;7.129337680722506;36.71748393;1.0;29.550397142510253;0.0;59.953815031866945;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-02 12:00:00;0.0;3.058044303915281;75.07189041599196;69.31966813758254;114.55039714251023;0.0;0.0;0.0;0.0;262.0;0.0;85.0;0.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13587.847339612938;0.0;3.088933640318466;36.71748393;1.0;29.550397142510253;0.0;63.99421907227099;133.3510337850997;0.0;0.0;0.0;0.0;0.0
2016-01-02 13:00:00;0.0;27.91285669633215;59.21707802357512;69.31966813758254;0.0;114.55039714251023;0.0;2.842170943040401e-14;0.0;271.0;0.0;0.0;85.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13501.488554878977;0.0;28.19480474376985;36.71748393;1.0;0.0;29.55039714251025;0.0;94.4626858162801;0.0;0.0;0.0;0.0;0.0
2016-01-02 14:00:00;0.0;15.871653430183725;54.25828128972353;69.31966813758254;0.0;114.55039714251023;0.0;2.842170943040401e-14;0.0;254.0;0.0;0.0;85.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13415.138406023489;0.0;16.031973161801744;36.71748393;1.0;0.0;29.55039714251025;0.0;82.299854234312;0.0;0.0;0.0;0.0;0.0
2016-01-02 15:00:00;0.0;27.07084239514481;59.62964487812098;68.35276484703407;0.0;115.94674787970014;0.0;0.0;0.0;271.0;0.0;0.0;85.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13328.796892182887;0.0;27.34428524762102;37.18358793;1.0;0.0;30.946747879700133;3.552713678800501e-15;95.47462105732116;0.0;0.0;0.0;0.0;0.0
2016-01-02 16:00:00;0.0;24.72984126798218;59.468226930882935;67.35745218975852;0.0;117.4444796113764;0.0;2.842170943040401e-14;0.0;269.0;0.0;0.0;85.0;0.0;0.0;85.0;1.0;0.0;0.0;85.0;1.0;13242.464012493669;0.0;24.979637644426447;37.65458128;1.0;0.0;32.44447961137639;0.0;95.07869853580283;0.0;0.0;0.0;0.0;0.0
2016-01-02 17:00:00;74.6506540790437;0.0;75.07189041599196;66.84818674241137;0.0;0.0;67.42926876255297;0.0;0.0;284.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;13241.13976609242;103.28079178875443;0.0;37.88949053;1.0;0.0;0.0;198.74233504385413;133.3510337850997;0.0;0.0;0.0;0.0;0.0
