;Q_in,BHKW;Q_in,SLK;P_out;P_in
2016-01-12 16:00:00;39.0;0.0965241695868;17.9391912692;0.0
2016-01-12 17:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 18:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 20:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-12 22:00:00;31.891743545;0.0;14.2177196054;0.0
2016-01-12 23:00:00;26.7007197585;0.0;11.5;0.0
2016-01-13 00:00:00;26.7007197585;0.0;11.4297713612;0.0
2016-01-13 01:00:00;26.7007197585;0.0;11.2492158056;0.0
2016-01-13 02:00:00;26.7007197585;0.0;11.4007309571;0.0
2016-01-13 03:00:00;26.7007197585;0.0;8.4696969697;0.0
2016-01-13 04:00:00;26.7007197585;0.0;10.8742158056;0.0
2016-01-13 05:00:00;26.7007197585;0.0;9.71259964399;0.0
2016-01-13 06:00:00;35.5486138649;0.0;16.1322452503;0.0
2016-01-13 07:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-13 08:00:00;39.0;0.177490078678;17.9391912692;0.0
2016-01-13 09:00:00;38.8397971527;0.0;17.8553183307;0.0
2016-01-13 10:00:00;38.2912666047;0.0;17.568139484;0.0
2016-01-13 11:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-13 12:00:00;39.0;0.40476280595;17.9391912692;0.0
2016-01-13 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-13 14:00:00;39.0;0.234308260496;17.9391912692;0.0
2016-01-13 15:00:00;39.0;0.575217351405;17.9391912692;0.0
2016-01-13 16:00:00;39.0;0.347944624132;17.9391912692;0.0
2016-01-13 17:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-13 18:00:00;39.0;0.234308260496;17.9391912692;0.0
2016-01-13 19:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-13 20:00:00;38.4741101207;0.0;17.6638657662;0.0
2016-01-13 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-13 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-13 23:00:00;29.6199128588;0.0;13.0283205485;0.0
2016-01-14 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 01:00:00;28.0520297092;0.0;12.2074676782;0.0
2016-01-14 02:00:00;27.8691861932;0.0;12.111741396;0.0
2016-01-14 03:00:00;28.2348732252;0.0;12.3031939605;0.0
2016-01-14 04:00:00;31.0826609868;0.0;13.7941308065;0.0
2016-01-14 05:00:00;38.5792451424;0.0;17.7189083785;0.0
2016-01-14 06:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 07:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-14 08:00:00;39.0;1.02976280595;17.9391912692;0.0
2016-01-14 09:00:00;39.0;1.14339916959;17.9391912692;0.0
2016-01-14 10:00:00;39.0;1.14339916959;17.9391912692;0.0
2016-01-14 11:00:00;39.0;0.153342351405;17.9391912692;0.0
2016-01-14 12:00:00;39.0;0.778342351405;17.9391912692;0.0
2016-01-14 13:00:00;39.0;0.664705987769;17.9391912692;0.0
2016-01-14 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 16:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 17:00:00;39.0;0.234308260496;17.9391912692;0.0
2016-01-14 18:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-14 19:00:00;39.0;0.12067189686;17.9391912692;0.0
2016-01-14 20:00:00;39.0;0.234308260496;17.9391912692;0.0
2016-01-14 21:00:00;39.0;0.0965241695868;17.9391912692;0.0
2016-01-14 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-14 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 01:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 02:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 03:00:00;28.9662472892;0.0;12.6860990895;0.0
2016-01-15 04:00:00;31.9968785667;0.0;14.2727622177;0.0
2016-01-15 05:00:00;35.2880618546;0.0;15.9958352981;0.0
2016-01-15 06:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 07:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-15 08:00:00;39.0;0.461580987769;17.9391912692;0.0
2016-01-15 09:00:00;39.0;0.688853715041;17.9391912692;0.0
2016-01-15 10:00:00;39.0;2.7343082605;17.9391912692;0.0
2016-01-15 11:00:00;39.0;0.518399169587;17.9391912692;0.0
2016-01-15 12:00:00;39.0;0.0965241695868;17.9391912692;0.0
2016-01-15 13:00:00;39.0;0.32379689686;17.9391912692;0.0
2016-01-15 14:00:00;39.0;0.494251442314;17.9391912692;0.0
2016-01-15 15:00:00;39.0;2.1093082605;17.9391912692;0.0
2016-01-15 16:00:00;39.0;0.972944624132;17.9391912692;0.0
2016-01-15 17:00:00;39.0;1.54112644231;17.9391912692;0.0
2016-01-15 18:00:00;39.0;0.688853715041;17.9391912692;0.0
2016-01-15 19:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 20:00:00;39.0;0.210160533223;17.9391912692;0.0
2016-01-15 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-15 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 00:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 01:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 02:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 03:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 04:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 05:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 06:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 07:00:00;37.7427360568;0.0;17.2809606372;0.0
2016-01-16 08:00:00;38.8397971527;0.0;17.8553183307;0.0
2016-01-16 09:00:00;39.0;0.291126442314;17.9391912692;0.0
2016-01-16 10:00:00;39.0;1.54112644231;17.9391912692;0.0
2016-01-16 11:00:00;39.0;1.65476280595;17.9391912692;0.0
2016-01-16 12:00:00;39.0;1.31385371504;17.9391912692;0.0
2016-01-16 13:00:00;39.0;0.40476280595;17.9391912692;0.0
2016-01-16 14:00:00;37.5598925408;0.0;17.185234355;0.0
2016-01-16 15:00:00;39.0;0.177490078678;17.9391912692;0.0
2016-01-16 16:00:00;39.0;0.575217351405;17.9391912692;0.0
2016-01-16 17:00:00;39.0;0.859308260496;17.9391912692;0.0
2016-01-16 18:00:00;39.0;0.916126442314;17.9391912692;0.0
2016-01-16 19:00:00;39.0;1.31385371504;17.9391912692;0.0
2016-01-16 20:00:00;39.0;0.0638537150413;17.9391912692;0.0
2016-01-16 21:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 22:00:00;39.0;0.0;17.9391912692;0.0
2016-01-16 23:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 00:00:00;26.7007197585;0.0;10.0661349975;0.0
2016-01-17 01:00:00;26.7007197585;0.0;10.4701754016;0.0
2016-01-17 02:00:00;26.7007197585;0.0;10.2681551995;0.0
2016-01-17 03:00:00;26.7007197585;0.0;10.217650149;0.0
2016-01-17 04:00:00;26.7007197585;0.0;9.30855923995;0.0
2016-01-17 05:00:00;26.9549686133;0.0;8.60280695446;0.0
2016-01-17 06:00:00;26.7007197585;0.419916309602;8.4696969697;0.0
2016-01-17 07:00:00;39.0;0.0;17.4278869569;0.0
2016-01-17 08:00:00;39.0;1.59794462413;17.9391912692;0.0
2016-01-17 09:00:00;39.0;2.22294462413;17.9391912692;0.0
2016-01-17 10:00:00;39.0;2.56385371504;17.9391912692;0.0
2016-01-17 11:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 12:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 13:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 14:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 15:00:00;39.0;0.0;17.9391912692;0.0
2016-01-17 16:00:00;39.0;0.347944624132;17.9391912692;0.0
2016-01-17 17:00:00;39.0;2.16612644231;17.9391912692;0.0
2016-01-17 18:00:00;39.0;2.27976280595;17.9391912692;0.0
2016-01-17 19:00:00;39.0;2.22294462413;17.9391912692;0.0
2016-01-17 20:00:00;39.0;2.27976280595;17.9391912692;0.0
