solar_data;heat_demand;el_spot_price;ambient_temperature;el_price;cop_lthp;P_max_hp;P_min_hp;c_1_hp;c_0_hp
0;271;22.39;-4.1;107.9;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;279;22.32;-4.324;107.83;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;291;24.2;-4.527;109.71;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;299;31;-4.659;116.51;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;321;42.47;-4.695;127.98;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;330.5;42.97;-4.374;128.48;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;325;41.93;-3.806;127.44;3.151595748;39.32995618;14.16601647;2.10982145;-20.01621569
0;313.5;41.62;-3.303;127.13;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;314;41.5;-2.953;127.01;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;309.8;40.66;-2.795;126.17;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;309.4;40.33;-2.79;125.84;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;307;36.51;-2.904;122.02;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;307;33.49;-2.97;119;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;316;34.19;-2.973;119.7;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;300;40.66;-2.994;126.17;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;345;40.8;-3.036;126.31;3.208819879;39.1286671;14.08561017;2.130766787;-19.82069312
0;334;37.19;-3.021;122.7;3.264889148;38.92580238;14.00402849;2.151580439;-19.62077296
0;309;31.94;-2.879;117.45;3.321698432;38.72151659;13.92128809;2.172277787;-19.41641001
0;292;27.01;-2.751;112.52;3.437878394;38.30894517;13.76191425;2.214255697;-19.0273653
0;272;27.52;-2.56;113.03;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
0;257;23.4;-2.18;108.91;3.558072711;37.88949053;13.61026561;2.256834492;-18.66212237
